tweet,spacy_cleaned_tweet,sentiment,target
"Market meltdown on the SPX is likely a 3rd wave, nice try to stop the crash, but they cant stop it now (well dont look like it)",market meltdown spx likely 3rd wave nice try stop crash stop well look like,negative,0
"Shock of shocks, the posts about Bobby Jindal's birthright citizenship/""anchor baby"" status are bullshit (http://t.co/YFv7FEr9Z2) ...",shock shock post bobby jindal 's birthright citizenship anchor baby status bullshit ...,negative,0
@CarltonBartins...often said Bloody Sunday the biggest recruitment drive for IRA. Multiply that over decades and much larger populations,... often say bloody sunday big recruitment drive ira multiply decade much large population,negative,0
Topic on the morning news: Does Detroit need a white mayor.......pause....wtf?!?!,topic morning news detroit need white mayor ... pause ... wtf,negative,0
Family Guy is on some other crap tonight.,family guy crap tonight,negative,0
"I guess, SP or Congress ruled States may create TERRORISTS WELFARE MINISTRY soon. Yakub's wife will be the 1st minister",guess sp congress rule state may create terrorist welfare ministry soon yakub 's wife 1st minister,negative,0
"The thing about being older is that when I see people like Miley dressing the way she does, all I think is ""Meh, Madonna did it 1st.""",thing old see people like miley dress way think meh madonna 1st,negative,0
"At Least 25 Killed in Fire at Saudi Hospital: In Saudi Arabia on Thursday, a fire tore through the maternity a... https://t.co/NdixMVTTYv",least 25 kill fire saudi hospital saudi arabia thursday fire tear maternity ...,negative,0
Caitlyn Jenner may be charged with manslaughter for fatal crash: The accident occurred whe... http://t.co/KUVX4VjNg9 #cadillac #escalade,caitlyn jenner may charge manslaughter fatal crash accident occur whe ... cadillac escalade,negative,0
"Assad continues to bombard #Homs, 4 the 17th consecutive day, mobile ntwrks off 4 the 4th day, mjr battles around Baba Amr #Syria",assad continue bombard hom 4 17th consecutive day mobile ntwrk 4 4th day mjr battle around baba amr syria,negative,0
#Dubw  Seems the @AAA_IRE are Anti Good Friday Agreement. Same as Real IRA and CIRA. Some bedfellows there !,dubw seem anti good friday agreement real ira cira bedfellow,negative,0
"We want to bomb Syria like there's no tomorrow, but when will we finally jail Tony Blair and George Bush for their war crimes? #Iraq2003",bomb syria like tomorrow finally jail tony blair george bush crime iraq2003,negative,0
"@greetmytweet_ hahah I haven't had one since Monday, and it was supposed to be expedited here. T-Mobile is a joke.",hahah one since monday suppose expedite mobile joke,negative,0
"@Tina__Tubs Does anyone else find it odd #McCann jumped on April Jones bandwagon,but didnt say  word about Tia Sharp where FAMILY involved ?",anyone else find odd mccann jump april jone bandwagon say word tia sharp family involve,negative,0
"@topcity yep.  Once it's lost, it can never be returned.  I was in Constitution Hall last Fri.  Got chills.  So much history was almost lost",yep lose never return constitution hall last fri get chill much history almost lose,negative,0
jason russell interview with Oprah is Sunday ... Let see if the gay question comes up. Because him being in the closet it just sad.,jason russell interview oprah sunday ... let see gay question closet sad,negative,0
Right down to an uncomfortably close win over the Jets the Pats and Packers are mirror teams...both will be bounced by Championship Sunday,right uncomfortably close win jet pat packer mirror team ... bounce championship sunday,negative,0
@callme_jacob7 omg I know Jacob :( cry with me tomorrow ?,omg know jacob :( cry tomorrow,negative,0
If you're a Straight Dude and Homophobic DO NOT come to a gay bar on a Saturday...or EVER in Fact. Thanks,straight dude homophobic gay bar saturday ... ever fact thank,negative,0
"Miley doesn't like the ""Bad Blood"" video, says things about drugs etc http://t.co/1phoN7gN5T http://t.co/vN1xBZsKW9",miley like bad blood video say thing drug etc,negative,0
Another NCA football coach needs lessons in PR 101. #1 Don't make matters worse by trying to intimidate the media. http://t.co/h38PQFG6,another nca football coach need lesson pr 101 1 make matter bad try intimidate medium,negative,0
Hillary upset Biden may run; Jeb Bush upset Trump is leading in the polls; both had family in the W.H. both feeling entitled to be next,hillary upset biden may run jeb bush upset trump lead poll family w h feeling entitle next,negative,0
@SmittyGotNoHoes it's the coaching fault how is Kendrick not rushing the passer anymore on 3rd down ? Like Cox not our best option,coach fault kendrick rush passer anymore 3rd like cox good option,negative,0
"Unfortunately, Magic TV will be delayed until tomorrow, due to issues with the T1 here at CFB studios. We... http://t.co/wW4z3Zpbgv",unfortunately magic tv delay tomorrow due issue t1 cfb studio ...,negative,0
@pjforest0712 What a shame about Punchestown. Unlikely to race at all tomorrow. I had 2 out as well in Quevega and Lietenant (2 miler!!!),shame punchestown unlikely race tomorrow 2 well quevega lietenant 2 miler,negative,0
B texted me and told me that she &amp; her mom went to see Magic Mike XXL (she loved the 1st one) and she hated it.,b text tell mom go see magic mike xxl love 1st one,negative,0
@dannyjpalmer Had it worse. Sat through a 2 hour train with young teenage girls singing One Direction and Ed Sheeran songs.,bad 2 hour train young teenage girl sing one direction sheeran song,negative,0
The pitch for Sat nights game is going to me atrocious due to the Coldplay concert #iwantAAMIparkback #mvfc,pitch night game go atrocious due coldplay concert iwantaamiparkback mvfc,negative,0
"Scott Walker Defends Ted Cruz After Boehner Jackass Comment. Really, #DUMASSWALKER is defending the only guy who may b more evil than him.",scott walker defend ted cruz boehner jackass comment really dumasswalker defend guy may b evil,negative,0
@JCuzzy1 @Fydsy @FootyML @JimFish286 @Wolf_TicketsLFC our true par is probably 5th behind Arsenal. It might not be nice but it's the reality,true probably 5th behind arsenal may nice reality,negative,0
"Angela Merkel may need as many refugees due to long penises from Africa to record movies, etc ...These cultures do not belong in the EU.",angela merkel may need many refugee due long penis africa record movie etc ... culture belong,negative,0
having the worst day and all I was looking forward to was Sam Smith tomorrow and I come from dance to find out ITS FUCKING CANCELLED,bad day look forward sam smith tomorrow dance find fucking cancel,negative,0
I just heard that Carly Fiorina may not make the CNN Debate because of OLD Polling they use!!!  Now this is the... http://t.co/MbiSyIX7kV,hear carly fiorina may make cnn debate old polling use ...,negative,0
@asht0nizzle @susan_leperaxo Tomm and Sunday most likely. Not sure when I'm going back. No power in NJ,tomm sunday likely sure go back power nj,negative,0
My boy Dennis Kucinich at it again. Screw Ohio for redistricting the state and voting him out come November. http://t.co/HIdeMdIk,boy dennis kucinich screw ohio redistrict state vote november,negative,0
Dammn yung Tracy McGrady goin to play in China really wish injuries didnt slow him down was one the best in the @NBA my 2nd favorite player,dammn yung tracy mcgrady go play china really wish injury slow one good 2nd favorite player,negative,0
March Against Monsanto sharing info on the dangers of dihydrogen monoxide! Scientific literacy is hard... http://t.co/uy5YPwwwdq,march monsanto sharing info danger dihydrogen monoxide scientific literacy hard ...,negative,0
@DunkinDonuts @DunkinBoston Add on the mobile website too. I've completely lost access to my dunkin cards. So much for a run tomorrow :(,add mobile website completely lose access dunkin card much run tomorrow :(,negative,0
@pperrin @nellesapelle Very wise. Hard to see UKIP going any further tho. Lab &amp; Tory split may open up new space like you said.,wise hard see ukip go tho lab tory split may open new space like say,negative,0
@JacintoPatricio yes they seem to be in quite a mess at BCFC hope you beat Spurs tomorrow,yes seem quite mess bcfc hope beat spur tomorrow,negative,0
"oh ya know just watching a documentary on the real jigsaw murderer before my 12th first time in hell! (@ chelsea, wyd???????)",oh know watch documentary real jigsaw murderer 12th first time hell chelsea wyd,negative,0
@ProsFB jeez...she offends me cuz she's a hypocrite and gives real Christians a bad name...and the 1st amendment is 1st for a reason!,jeez ... offend cuz hypocrite give real christian bad name ... 1st amendment 1st reason,negative,0
"Oddly, Dustin Johnson may be better served to play the final round chasing not being chased. He can play to win, not play NOT to lose.",oddly dustin johnson may better serve play final round chasing chase play win play lose,negative,0
Need cough medicine and/or Lemsips. May be critical if you want the Gazette on Wednesday! Anyone do deliveries??? #dying,need cough medicine lemsip may critical gazette wednesday anyone delivery,negative,0
Gutted I'm missing the cardigan match on Saturday! But more important things to do,gutt miss cardigan match saturday important thing,negative,0
Craziest day ever and back for 3 shifts at work tomorrow (Kim Kardashian cry face),crazy day ever back 3 shift work tomorrow kardashian cry,negative,0
Does anyone know how to get around a disabled 5th gen ipod WITHOUT putting it into recovery mode?,anyone know get around disabled 5th gen ipod without put recovery mode,negative,0
"May George Bush drink the blood of every gay man, woman, and child in America! http://t.co/in9IzpiY1O",may george bush drink blood every gay woman child america,negative,0
@KylieJenner take a pic with @britneyspears on Sunday PLZZZZZZZZZ!!!!!! The gays will die and go to gay glitter heaven!!!!,take sunday plzzz gay go gay glitter heaven,negative,0
I don't know if my eyes could handle this match what a big fucker may God give Dean Ambrose the power to beat this monster #RAW,know eye could handle match big fucker may god give dean ambrose power beat monster raw,negative,0
@worthybieber No. The Sun is notorious for making up bullshit about Zayn including the cheating allegations.,sun notorious make bullshit zayn include cheat allegation,negative,0
"I don't want Saturday to get here. But I'm ready to bomb #allregion in Hot Springs, sooo... Might as well get it over with.",saturday get ready bomb allregion hot spring sooo ... may well get,negative,0
@4everlove2ss501 I'm talking about what happened between Hyung Jun and U-KISS. Some KissMe accuse us of disrespectful,talk happen hyung jun kiss kissme accuse disrespectful,negative,0
Hard to be excited about Eric church at wefest for the 3rd time in 5 years. Does literally no one else want to headline?!,hard excited eric church wefest 3rd time 5 year literally one else headline,negative,0
.@marklevinshow apparently Rick Perry is an idiot on the 14th Amendment as well. He needs a Levin intervention too. As bad as O'Reilly.,apparently rick perry idiot 14th amendment well need levin intervention bad o'reilly,negative,0
"Wichita St. with 3 errors in 2 innings. I imagine veteran coach Gene Stephenson is boiling in the dugout. MSU lead 6-0, bottom 2nd.",wichita st 3 error 2 innings imagine veteran coach gene stephenson boil dugout msu lead 6 0 bottom 2nd,negative,0
"Jose Iglesias homers w/ the #Rays down 4-1 in the 9th? That's it, I'm calling it. 9/20/12 10:01pm time of death for Tampa.",jose iglesias homer w ray 4 1 9th call 9/20 12 10:01 pm time death tampa,negative,0
Yoga before the sun is up. Hopefully I can get this going everyday. I'm too much of a night owl for this shit,yoga sun hopefully get go everyday much night owl shit,negative,0
Faux FLOTUS Michelle Obama recently floated the Sheerly repugnant suggestion that she may run for POTUS.,faux flotus michelle obama recently float sheerly repugnant suggestion may run potus,negative,0
Sam Smith hairline think it's Throwback Thursday everyday or some shit huh,sam smith hairline think throwback thursday everyday shit huh,negative,0
@DavidJonesRC Serena&gt;Venus yes.  If Asante Samuel doesn't drop an easy int Eli may not even be with Giants anymore.  You are Eli #overrated,serena venus yes asante samuel drop easy int eli may even giant anymore eli overrate,negative,0
My family are listening to Justin Bieber and im just  Sat here feeling a little sick,family listen justin bieber feel little sick,negative,0
"Once again Dustin Johnson is leading early in the tourny, which means he has plenty of time to screw it up on ether Saturday or Sunday",dustin johnson lead early tourny mean plenty time screw ether saturday sunday,negative,0
"Watching my favourite @Oprah behind the scenes (for the 4th time) when Jennifer Hudson goes AWOL. 'Excuse me, what the hell is going on?!'",watch favourite behind scene 4th time jennifer hudson go awol excuse hell go,negative,0
"@imjustanerd We may not win Academy Awards, but we will be the freaking People's Choice dammit!!!",may win academy award freaking people 's choice dammit,negative,0
"Hey @dish, why is the Ohio State/Rutgers game on Sat not being shown in HD on ESPN2 in CO? Guide is showing UCLA/Cal on ABC &amp; ESPN2",hey ohio state rutger game show hd espn 2 co guide show ucla cal abc espn 2,negative,0
1st time I bring my phone to Harold Washington &amp; it goes off! :/,1st time bring phone harold washington go :/,negative,0
@SamiYusuf May Allah give strength to our Syrian brothers n sisters. Islam will arise again. I believe. I hate Basyar Assad for what he did.,may allah give strength syrian brother sister islam arise believe hate basyar assad,negative,0
@YanniKouts Tsipras may just limp across the finish line in the general election because there's no real viable alternative PM...,tsipra may limp across finish line general election real viable alternative pm ...,negative,0
"@mixxi_bug They never do. Remember, there may not be a Tory govt after the next GE. They can't bind the hands of their successor.",never remember may tory govt next bind hand successor,negative,0
"Israel's red line on Iran: 240 kg [of 20% enriched uranium] // Number was put to Netanyahu and he ""did not contest it"". http://t.co/XnKk2CSr",israel 's red line iran 240 kg 20 enrich uranium number put netanyahu contest,negative,0
"&amp;his caution on the 1st problem caused 2nd problem! ""Cautious on Syria war, Obama now cautious on refugee crisis"" CSM http://t.co/jMqWrXJpAW",caution 1st problem cause 2nd problem cautious syria obama cautious refugee crisis csm,negative,0
George Osborne claims that #JeremyCorbyn is a threat to national security ... because he opposes #Trident renewal http://t.co/qNJpZKd9Hd,george osborne claim jeremycorbyn threat national security ... oppose trident renewal,negative,0
"Floyd Mayweather picked a guy who has lost 3 of his last 6 fights as his opponent, and the boxing world hates him http://t.co/Eu7MmSYQha",floyd mayweather pick guy lose 3 last 6 fight opponent boxing world,negative,0
NFL Commissioner Roger Goodell says he may cancel the Pro Bowl: http://t.co/XXsEiykQ Would you care if there was no Pro Bowl?,nfl commissioner roger goodell say may cancel pro bowl would pro bowl,negative,0
#Rahulstumped Mr. Rahul Gandhi is become too negative as he can not see what the center government is doing or may be he don't want to see.,rahulstumped mr rahul gandhi become negative see center government may see,negative,0
"Obama to Cameron: Who taught you to draw up a kill list?    Cameron: YOU, ALRIGHT? I LEARNED IT FROM WATCHING YOU http://t.co/tclBrRCo7n",obama cameron teach draw kill list cameron alright learn watch,negative,0
"Still fuming at Everton shambles, at least the England Cricket team should cheer me up today #kenwrightout",still fume everton shamble least england cricket team cheer today kenwrightout,negative,0
Just a reminder if you voted tory in may youre still a fucking selfish twat 4 months on,reminder vote tory may still fucking selfish twat 4 month,negative,0
"Bolton Wanderers have sacked manager Owen Coyle following a poor start to the Championship season, which sees them lying 18th in the table.",bolton wanderer sack manager owen coyle follow poor start championship season see lie 18th table,negative,0
Mom just asked if I wanted to see the Knicks vs Celtics in October...I hate both teams but it's a live game hmm,mom ask see knick vs celtic october ... hate team live game hmm,negative,0
"@Daggy1 obama's goal is to lead us into 3rd world status, so you're absolutely right, ""obama doesn't care""",obama 's goal lead 3rd world status absolutely right obama,negative,0
@sassygaycallie I'll share 1st. I don't care for c-Lud because of her weird crush on Justin and how sorority girl she comes across. Ur turn!,share 1st lud weird crush justin sorority girl across ur turn,negative,0
"Spare me the nuances, Yakub is certainly not innocent. Rarest of the rare case? May be! #YakubToHang",spare nuance yakub certainly innocent rare rare case may yakubtohang,negative,0
"Boko Haram now militants not terrorists says LEADERSHIP. Conspiracy theorists get to work,i want my tl occupied with articles by monday",boko haram militant terrorist say leadership conspiracy theorist get work tl occupy article monday,negative,0
Drinking all the Red Bull and still yawning and sleepy. At least it's Friday?,drink red bull still yawn sleepy least friday,negative,0
After what Jon Stewart did to John Cena he better show up to work on Monday.,jon stewart john cena better show work monday,negative,0
@MattRHinton no one should care why Jameis may still be the best player in CFB. It's a completely moot point in context of current scandal,one jameis may still good player cfb completely moot point context current scandal,negative,0
The amount of people I'm going to see come into Dunkin' tomorrow before their first day back to school will not be okay,amount people go see dunkin tomorrow first day back school okay,negative,0
the fact that so many will vote for a socialist fake liar for President is very very frightening and may bring America to ruin!,fact many vote socialist fake liar president frightening may bring america ruin,negative,0
Bear with me for the power crisis: Jayalalithaa: Chief Minister Jayalalithaa on Wednesday asked the people of Tamil... http://t.co/6FL1pjuL,bear power crisis jayalalithaa chief minister jayalalithaa wednesday ask people tamil ...,negative,0
@seeinginfrared you may be right he was innocent.If Levinson stupid enough to spy on Iran about cigarette smuggling then the guy is a retard,may right innocent.if levinson stupid enough spy iran cigarette smuggling guy retard,negative,0
Salt Lake Tribune - Man dies after Murray shooting - A man died Sunday morning after he was found shot outside a h... http://t.co/zCVXP7uJIz,salt lake tribune murray shooting sunday morning find shoot outside h ...,negative,0
Spring pictures tomorrow = drama drama drama.... Can't wait til morning. #sarcasm,spring picture tomorrow drama drama drama ... wait morning sarcasm,negative,0
I missed it :(( QT @soOsuh_ditty: i have got to remind myself to watch Stevie TV every Sunday. I was dying.,miss :( qt get remind watch stevie tv every sunday,negative,0
Amazon Prime Day is just like Black Friday if you only buy bulk protein powder and will-making software on Black Friday.,amazon prime day like black friday buy bulk protein powder make software black friday,negative,0
"Beyonce needs a new sound. You may call it hating, I'm just being real.",beyonce need new sound may call real,negative,0
"@GaetaSusan Exactly. No difference between the koran #ISIS uses,or the #koran the ""peaceful"" Muslims we may think we know,at work/school...",exactly difference koran isis use koran peaceful muslim may think know work school ...,negative,0
